DisplayOrder,COUNTRY,ISO3,WHO_REGION,WHO_REGION_SHORTNAME,CasesAll,CasesLast24Hours,CasesLast7Days,DeathsAll,DeathsLast24Hours,DeathsLast7Days,Latitude,Longitude,MPX_DataAvailable,LASTREPDATE
3,LAO PEOPLE'S DEMOCRATIC REPUBLIC,LAO,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,18.50245057,103.76340559,0,
3,LATVIA,LVA,WHO European Region,EURO,5,0,0,0,0,0,56.85766939,24.92915332,1,2022-10-04T00:00:00
3,LEBANON,LBN,WHO Eastern Mediterranean Region,EMRO,11,0,0,0,0,0,33.92039304,35.88806123,1,2022-09-09T00:00:00
3,LESOTHO,LSO,WHO African Region,AFRO,0,0,0,0,0,0,-29.58100795,28.24284034,0,
3,LIBERIA,LBR,WHO African Region,AFRO,3,0,0,0,0,0,6.44811846,-9.30784656,1,2022-10-04T00:00:00
3,LIBYA,LBY,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,27.04404524,18.02318627,0,
3,LIECHTENSTEIN,LIE,WHO European Region,EURO,0,0,0,0,0,0,47.15259548,9.55526493,0,
3,LITHUANIA,LTU,WHO European Region,EURO,5,0,0,0,0,0,55.33585013,23.89683075,1,2022-10-04T00:00:00
3,LUXEMBOURG,LUX,WHO European Region,EURO,55,0,0,0,0,0,49.77096396,6.08754416,1,2022-10-04T00:00:00
3,MADAGASCAR,MDG,WHO African Region,AFRO,0,0,0,0,0,0,-19.37352133,46.70599248,0,
3,MALAWI,MWI,WHO African Region,AFRO,0,0,0,0,0,0,-13.21510424,34.30698504,0,
3,MALAYSIA,MYS,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,3.79382045,109.7115743,0,
3,MALDIVES,MDV,WHO South-East Asia Region,SEARO,0,0,0,0,0,0,3.37481932,73.25178478,0,
3,MALI,MLI,WHO African Region,AFRO,0,0,0,0,0,0,17.35036933,-3.52433672,0,
3,MALTA,MLT,WHO European Region,EURO,33,0,0,0,0,0,35.92036651,14.40457358,1,2022-10-04T00:00:00
3,MARSHALL ISLANDS,MHL,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,8.42167996,168.61039424,0,
3,MARTINIQUE,MTQ,WHO Region of the Americas,AMRO,1,0,0,0,0,0,14.65277419,-61.02147382,1,2022-07-20T00:00:00
3,MAURITANIA,MRT,WHO African Region,AFRO,0,0,0,0,0,0,20.25990361,-10.33226041,0,
3,MAURITIUS,MUS,WHO African Region,AFRO,0,0,0,0,0,0,-20.1700678,57.868476,0,
3,MAYOTTE,MYT,WHO African Region,AFRO,0,0,0,0,0,0,-12.81835006,45.13926174,0,
3,MEXICO,MEX,WHO Region of the Americas,AMRO,1627,0,0,0,0,0,23.95092841,-102.53499093,1,2022-09-28T00:00:00
3,MICRONESIA (FEDERATED STATES OF),FSM,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,7.09583265,154.82818473,0,
3,MONACO,MCO,WHO European Region,EURO,3,0,0,0,0,0,43.75034615,7.41201715,1,2022-10-04T00:00:00
3,MONGOLIA,MNG,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,46.83520872,103.08303108,0,
3,MONTENEGRO,MNE,WHO European Region,EURO,2,0,0,0,0,0,42.79659203,19.26458919,1,2022-10-04T00:00:00
3,MONTSERRAT,MSR,WHO Region of the Americas,AMRO,0,0,0,0,0,0,16.73575969,-62.18692145,0,
3,MOROCCO,MAR,WHO Eastern Mediterranean Region,EMRO,3,0,0,0,0,0,31.88355697,-6.31780295,1,2022-08-29T00:00:00
3,MOZAMBIQUE,MOZ,WHO African Region,AFRO,0,0,0,0,0,0,-17.26019392,35.55226053,0,
3,MYANMAR,MMR,WHO South-East Asia Region,SEARO,0,0,0,0,0,0,21.14009536,96.50868206,0,
3,NAMIBIA,NAM,WHO African Region,AFRO,0,0,0,0,0,0,-22.13329329,17.21845028,0,
3,NAURU,NRU,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-0.52207331,166.93008339,0,
3,NEPAL,NPL,WHO South-East Asia Region,SEARO,0,0,0,0,0,0,28.25300785,83.93851707,0,
3,NETHERLANDS,NLD,WHO European Region,EURO,1219,0,-4,0,0,0,52.2535763,5.60099776,1,2022-10-04T00:00:00
3,NEW CALEDONIA,NCL,WHO Western Pacific Region,WPRO,1,0,0,0,0,0,-21.29461419,165.67184977,1,2022-07-12T00:00:00
3,NEW ZEALAND,NZL,WHO Western Pacific Region,WPRO,9,0,0,0,0,0,-41.83710689,171.60397128,1,2022-09-22T00:00:00
3,NICARAGUA,NIC,WHO Region of the Americas,AMRO,0,0,0,0,0,0,12.84006976,-85.03375025,0,
3,NIGER,NER,WHO African Region,AFRO,0,0,0,0,0,0,17.42632282,9.39765754,0,
3,NIGERIA,NGA,WHO African Region,AFRO,400,0,0,7,0,0,9.59360399,8.10527726,1,2022-10-04T00:00:00
3,NIUE,NIU,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-19.05190358,-169.86858677,0,
3,NORFOLK ISLAND,NFK,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-29.03719883,167.95286612,0,
3,NORTH MACEDONIA,MKD,WHO European Region,EURO,0,0,0,0,0,0,41.59922075,21.6991485,0,
3,NORTHERN MARIANA ISLANDS,MNP,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,16.25570464,145.58783211,0,
3,NORWAY,NOR,WHO European Region,EURO,92,0,0,0,0,0,64.44784887,14.07508911,1,2022-10-04T00:00:00
3,"OCCUPIED PALESTINIAN TERRITORY, INCLUDING EAST JERUSALEM",PSE,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,31.91395114,35.20376878,0,
3,OMAN,OMN,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,20.60208368,56.10981747,0,
3,PAKISTAN,PAK,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,29.96678898,69.38581881,0,
3,PALAU,PLW,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,7.3881454,134.48391583,0,
3,PANAMA,PAN,WHO Region of the Americas,AMRO,16,0,2,0,0,0,8.50544318,-80.10906884,1,2022-10-01T00:00:00
3,PAPUA NEW GUINEA,PNG,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-6.47589335,145.25368759,0,
3,PARAGUAY,PRY,WHO Region of the Americas,AMRO,2,0,1,0,0,0,-23.23612887,-58.39095178,1,2022-09-30T00:00:00
3,PERU,PER,WHO Region of the Americas,AMRO,2587,0,138,0,0,0,-9.16377133,-74.37540668,1,2022-10-04T00:00:00
3,PHILIPPINES,PHL,WHO Western Pacific Region,WPRO,4,0,0,0,0,0,11.74740203,122.87360743,1,2022-08-22T00:00:00
3,PITCAIRN,PCN,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-24.505797,-128.44279002,0,
3,POLAND,POL,WHO European Region,EURO,195,0,7,0,0,0,52.12472405,19.40092017,1,2022-10-04T00:00:00
3,PORTUGAL,PRT,WHO European Region,EURO,926,0,9,0,0,0,39.60269511,-8.46736074,1,2022-10-04T00:00:00
3,PUERTO RICO,PRI,WHO Region of the Americas,AMRO,186,0,4,0,0,0,18.22093074,-66.46612748,1,2022-10-04T00:00:00
3,QATAR,QAT,WHO Eastern Mediterranean Region,EMRO,5,0,0,0,0,0,25.31580997,51.19120083,1,2022-09-20T00:00:00
3,REPUBLIC OF KOREA,KOR,WHO Western Pacific Region,WPRO,2,0,0,0,0,0,36.36770228,127.82934392,1,2022-09-03T00:00:00
3,REPUBLIC OF MOLDOVA,MDA,WHO European Region,EURO,2,0,0,0,0,0,47.19332561,28.47434317,1,2022-10-04T00:00:00
3,RÉUNION,REU,WHO African Region,AFRO,0,0,0,0,0,0,-21.12162946,55.53821274,0,
3,ROMANIA,ROU,WHO European Region,EURO,40,0,0,0,0,0,45.84360558,24.96990758,1,2022-10-04T00:00:00
3,RUSSIAN FEDERATION,RUS,WHO European Region,EURO,2,0,0,0,0,0,61.9882456,96.68944215,1,2022-10-04T00:00:00
3,RWANDA,RWA,WHO African Region,AFRO,0,0,0,0,0,0,-1.99796798,29.91720553,0,
3,SAINT BARTHÉLEMY,BLM,WHO Region of the Americas,AMRO,0,0,0,0,0,0,17.90579684,-62.83349044,0,
3,SAINT HELENA,SHN,WHO African Region,AFRO,0,0,0,0,0,0,-25.07251316,-10.20560378,0,
3,SAINT KITTS AND NEVIS,KNA,WHO Region of the Americas,AMRO,0,0,0,0,0,0,17.26585656,-62.69617397,0,
3,SAINT LUCIA,LCA,WHO Region of the Americas,AMRO,0,0,0,0,0,0,13.89811518,-60.96869084,0,
3,SAINT MARTIN (FRENCH PART),MAF,WHO Region of the Americas,AMRO,1,0,0,0,0,0,18.08767182,-63.0646247,1,2022-08-04T00:00:00
3,SAINT PIERRE AND MIQUELON,SPM,WHO Region of the Americas,AMRO,0,0,0,0,0,0,46.92888261,-56.30527649,0,
3,SAINT VINCENT AND THE GRENADINES,VCT,WHO Region of the Americas,AMRO,0,0,0,0,0,0,13.20205468,-61.20753009,0,
3,SAMOA,WSM,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-13.7583492,-172.15945451,0,
3,SAN MARINO,SMR,WHO European Region,EURO,0,0,0,0,0,0,43.94191474,12.46035762,0,
3,SAO TOME AND PRINCIPE,STP,WHO African Region,AFRO,0,0,0,0,0,0,0.45825363,6.73729084,0,
3,SAUDI ARABIA,SAU,WHO Eastern Mediterranean Region,EMRO,8,0,0,0,0,0,24.08088192,44.57044965,1,2022-08-30T00:00:00
3,SENEGAL,SEN,WHO African Region,AFRO,0,0,0,0,0,0,14.36697954,-14.46817708,0,
3,SERBIA,SRB,WHO European Region,EURO,40,0,0,0,0,0,44.03387222,20.81133086,1,2022-10-04T00:00:00
3,SEYCHELLES,SYC,WHO African Region,AFRO,0,0,0,0,0,0,-6.39906405,52.23005901,0,
3,SIERRA LEONE,SLE,WHO African Region,AFRO,0,0,0,0,0,0,8.56034092,-11.7921029,0,
3,SINGAPORE,SGP,WHO Western Pacific Region,WPRO,19,0,0,0,0,0,1.35118038,103.80765359,1,2022-09-15T00:00:00
3,SINT MAARTEN (DUTCH PART),SXM,WHO Region of the Americas,AMRO,0,0,0,0,0,0,18.04690697,-63.06187633,0,
3,SLOVAKIA,SVK,WHO European Region,EURO,14,0,0,0,0,0,48.7073588,19.49145028,1,2022-10-04T00:00:00
3,SLOVENIA,SVN,WHO European Region,EURO,47,0,0,0,0,0,46.12355026,14.82707444,1,2022-10-04T00:00:00
3,SOLOMON ISLANDS,SLB,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-8.90427701,159.61275564,0,
3,SOMALIA,SOM,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,6.0637135,45.86255927,0,
3,SOUTH AFRICA,ZAF,WHO African Region,AFRO,5,0,0,0,0,0,-28.99321352,25.08871199,1,2022-10-04T00:00:00
3,SOUTH SUDAN,SSD,WHO African Region,AFRO,0,0,0,0,0,0,7.27961187,30.34067655,0,
3,SPAIN,ESP,WHO European Region,EURO,7209,0,60,3,0,0,40.22749596,-3.64931118,1,2022-10-04T00:00:00
3,SRI LANKA,LKA,WHO South-East Asia Region,SEARO,0,0,0,0,0,0,7.61236243,80.70426262,0,
3,SUDAN,SDN,WHO Eastern Mediterranean Region,EMRO,17,0,10,1,0,0,16.04883821,30.00438135,1,2022-10-01T00:00:00
3,SURINAME,SUR,WHO Region of the Americas,AMRO,0,0,0,0,0,0,4.12671321,-55.91158124,0,
3,SVALBARD AND JAN MAYEN,SJM,WHO European Region,EURO,0,0,0,0,0,0,78.82964197,18.37439734,0,
3,SWEDEN,SWE,WHO European Region,EURO,198,0,3,0,0,0,62.78774226,16.74115526,1,2022-10-04T00:00:00
3,SWITZERLAND,CHE,WHO European Region,EURO,516,0,3,0,0,0,46.8025828,8.23458738,1,2022-10-04T00:00:00
3,SYRIAN ARAB REPUBLIC,SYR,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,35.01307272,38.50584744,0,
3,TAJIKISTAN,TJK,WHO European Region,EURO,0,0,0,0,0,0,38.52781756,71.04218063,0,
3,THAILAND,THA,WHO South-East Asia Region,SEARO,10,0,2,0,0,0,15.11989876,101.01490782,1,2022-10-02T00:00:00
3,TIMOR-LESTE,TLS,WHO South-East Asia Region,SEARO,0,0,0,0,0,0,-8.82052123,125.8609961,0,
3,TOGO,TGO,WHO African Region,AFRO,0,0,0,0,0,0,8.53491037,0.97584596,0,
3,TOKELAU,TKL,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-9.08691012,-171.83219654,0,
3,TONGA,TON,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-19.98207654,-174.82453186,0,
3,TRINIDAD AND TOBAGO,TTO,WHO Region of the Americas,AMRO,0,0,0,0,0,0,10.46836429,-61.25263722,0,
3,TUNISIA,TUN,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,34.11124917,9.56156142,0,
3,TÜRKIYE,TUR,WHO European Region,EURO,1,0,0,0,0,0,39.06061856,35.17921811,1,2022-10-04T00:00:00
3,TURKMENISTAN,TKM,WHO European Region,EURO,0,0,0,0,0,0,39.12221813,59.3835262,0,
3,TURKS AND CAICOS ISLANDS,TCA,WHO Region of the Americas,AMRO,0,0,0,0,0,0,21.80869292,-71.88207917,0,
3,TUVALU,TUV,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-7.58736,178.20111015,0,
3,UGANDA,UGA,WHO African Region,AFRO,0,0,0,0,0,0,1.28008463,32.38622999,0,
3,UKRAINE,UKR,WHO European Region,EURO,4,0,1,0,0,0,49.01609429,31.38784552,1,2022-10-04T00:00:00
3,UNITED ARAB EMIRATES,ARE,WHO Eastern Mediterranean Region,EMRO,16,0,0,0,0,0,23.91267254,54.33219878,1,2022-07-24T00:00:00
3,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,GBR,WHO European Region,EURO,3654,0,19,0,0,0,54.1601792,-2.90049476,1,2022-10-04T00:00:00
3,UNITED REPUBLIC OF TANZANIA,TZA,WHO African Region,AFRO,0,0,0,0,0,0,-6.27019905,34.82340201,0,
3,UNITED STATES OF AMERICA,USA,WHO Region of the Americas,AMRO,25672,0,342,2,0,1,45.6954816,-112.49356447,1,2022-10-04T00:00:00
3,UNITED STATES VIRGIN ISLANDS,VIR,WHO Region of the Americas,AMRO,0,0,0,0,0,0,17.9678899,-64.78692721,0,
3,URUGUAY,URY,WHO Region of the Americas,AMRO,8,0,0,0,0,0,-32.79956992,-56.01217362,1,2022-09-28T00:00:00
3,UZBEKISTAN,UZB,WHO European Region,EURO,0,0,0,0,0,0,41.75041661,63.16950578,0,
3,VANUATU,VUT,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-16.20215409,167.7055728,0,
3,VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,WHO Region of the Americas,AMRO,5,0,0,0,0,0,7.12493711,-66.16621515,1,2022-09-18T00:00:00
3,VIET NAM,VNM,WHO Western Pacific Region,WPRO,1,0,1,0,0,0,16.65160342,106.30403531,1,2022-10-03T00:00:00
3,WALLIS AND FUTUNA,WLF,WHO Western Pacific Region,WPRO,0,0,0,0,0,0,-13.78426596,-177.14397087,0,
3,WESTERN SAHARA,ESH,WHO African Region,AFRO,0,0,0,0,0,0,24.66157494,-13.13672471,0,
3,YEMEN,YEM,WHO Eastern Mediterranean Region,EMRO,0,0,0,0,0,0,15.8386485,47.58223641,0,
3,ZAMBIA,ZMB,WHO African Region,AFRO,0,0,0,0,0,0,-13.45307543,27.79788004,0,
3,ZIMBABWE,ZWE,WHO African Region,AFRO,0,0,0,0,0,0,-19.00000577,29.87175983,0,
